Tyler Naquin,Tyler Naquin
Mike Moustakas,Mike Moustakas
Anthony Varvaro,Anthony Varvaro
Josh Tomlin,Josh Tomlin
Ken Giles,Ken Giles
Michael Brantley,Michael Brantley
Juan Lagares,Juan Lagares
Luke Hochevar,Luke Hochevar
Addison Reed,Addison Reed
Didi Gregorius,Didi Gregorius
Kirby Yates,Kirby Yates
Salvador Perez,Salvador Perez
Scott Rice,Scott Rice
David Ortiz,David Ortiz
Lance McCullers,Lance McCullers
Reymond Fuentes,Reymond Fuentes
Roberto Perez,Roberto Perez
Lonnie Chisenhall,Lonnie Chisenhall
Bryan Mitchell,Bryan Mitchell
Masahiro Tanaka,Masahiro Tanaka
Luis Cessa,Luis Cessa
Jacob deGrom,Jacob deGrom
