Max Scherzer,Max Scherzer
Stephen Strasburg,Stephen Strasburg
David Price,David Price
Madison Bumgarner,Madison Bumgarner
Gio Gonzalez,Gio Gonzalez
Dallas Keuchel,Dallas Keuchel
Yu Darvish,Yu Darvish
Raisel Iglesias,Raisel Iglesias
Felix Hernandez,Felix Hernandez
Masahiro Tanaka,Masahiro Tanaka
Corey Kluber,Corey Kluber
Anthony DeSclafani,Anthony DeSclafani
Carlos Carrasco,Carlos Carrasco
Danny Salazar,Danny Salazar
Cole Hamels,Cole Hamels
Johnny Cueto,Johnny Cueto
Aaron Nola,Aaron Nola
Lance McCullers,Lance McCullers
Homer Bailey,Homer Bailey
Julio Teheran,Julio Teheran
Joe Ross,Joe Ross
John Lamb,John Lamb
Jerad Eickhoff,Jerad Eickhoff
Clay Buchholz,Clay Buchholz
Jeff Samardzija,Jeff Samardzija
Michael Pineda,Michael Pineda
Robert Stephenson,Robert Stephenson
Collin McHugh,Collin McHugh
Mike Fiers,Mike Fiers
Charlie Morton,Charlie Morton
Bud Norris,Bud Norris
Jeremy Hellickson,Jeremy Hellickson
Rick Porcello,Rick Porcello
Tanner Roark,Tanner Roark
Hisashi Iwakuma,Hisashi Iwakuma
Luis Severino,Luis Severino
Vince Velasquez,Vince Velasquez
Eduardo Rodriguez,Eduardo Rodriguez
Derek Holland,Derek Holland
Taijuan Walker,Taijuan Walker
CC Sabathia,CC Sabathia
Nathan Eovaldi,Nathan Eovaldi
Alfredo Simon,Alfredo Simon
Matt Wisler,Matt Wisler
Jake Peavy,Jake Peavy
Ervin Santana,Ervin Santana
Kevin Gausman,Kevin Gausman
Trevor Bauer,Trevor Bauer
Bronson Arroyo,Bronson Arroyo
Ubaldo Jimenez,Ubaldo Jimenez
Nathan Karns,Nathan Karns
Josh Tomlin,Josh Tomlin
Wade Miley,Wade Miley
Manny Banuelos,Manny Banuelos
Jon Moscot,Jon Moscot
Adam Morgan,Adam Morgan
Colby Lewis,Colby Lewis
Scott Feldman,Scott Feldman
James Paxton,James Paxton
Michael Lorenzen,Michael Lorenzen
Brandon Finnegan,Brandon Finnegan
Tyler Duffey,Tyler Duffey
Phil Hughes,Phil Hughes
Jhoulys Chacin,Jhoulys Chacin
Williams Perez,Williams Perez
Jimmy Nelson,Jimmy Nelson
Matt Cain,Matt Cain
Martin Perez,Martin Perez
Kyle Gibson,Kyle Gibson
Mike Foltynewicz,Mike Foltynewicz
Chris Tillman,Chris Tillman
Tommy Milone,Tommy Milone
Ricky Nolasco,Ricky Nolasco
